,0,1,Class
0,-0.43162793,3.293908,1
1,-0.48042977,3.2615442,1
2,0.58343005,1.583725,1
3,0.17977488,3.3569531,1
4,1.6232494,2.908846,1
5,-0.6490696,3.2588077,1
6,1.7840868,3.0238535,1
7,2.058012,2.6106968,1
8,1.3368399,2.9408495,1
9,1.0576963,3.6435432,10
10,0.9707692,3.646624,10
11,1.0333456,3.6064534,10
12,1.0642221,3.6314967,10
13,-0.89222515,-0.30554506,10
14,-1.0322168,-0.23224476,10
15,4.13419,-0.091649756,100
16,2.5993972,-0.47822818,100
17,3.510786,1.824749,100
18,2.2977104,-0.7847412,100
19,4.023311,3.0205634,100
20,2.1338503,-0.8852585,100
21,3.8305528,-0.33129743,100
22,2.957736,-0.660559,100
23,4.1813526,0.1609323,100
24,-0.2253666,2.118182,101
25,-0.995541,1.7656679,101
26,1.4901434,3.8348722,101
27,2.2481704,2.9658666,101
28,0.02882187,3.3946652,101
29,0.9066163,2.7111864,101
30,0.63659626,3.5846741,101
31,2.2194476,2.2063537,101
32,0.24117693,1.7835624,102
33,1.6826507,0.31673288,102
34,0.1270215,1.6149188,102
35,1.1260197,3.6686118,102
36,-0.79990464,4.3629584,102
37,-0.3830087,3.3064404,102
38,0.6369298,-0.6043123,102
39,1.0497253,-0.38128895,102
40,-0.3734937,4.6831555,102
41,3.2646596,4.3289185,102
42,0.07827694,2.9134407,102
43,1.2281526,5.489657,102
44,-1.7549676,3.7920582,102
45,-0.5717638,3.8545237,102
46,-0.31408402,4.6028986,102
47,0.2736607,3.3761191,102
48,4.735113,-0.09431351,103
49,3.21415,-0.76003945,103
50,3.6454024,0.8191298,103
51,3.6151364,-0.31568232,103
52,4.395133,-0.36076123,103
53,3.8952997,-0.050983705,103
54,3.3365486,-0.6454919,103
55,3.9353254,1.3221834,103
56,3.5199034,-0.53839654,103
57,4.0841475,-0.8989715,103
58,3.683849,-0.52359104,103
59,1.2118927,-0.6652067,103
60,3.1508284,4.358957,103
61,-1.1515912,0.45026287,103
62,1.7269236,5.4066877,103
63,3.3184326,-0.46506575,103
64,2.0766468,-0.019061895,103
65,3.5541997,-0.2507237,103
66,3.1201525,4.2839365,103
67,-0.25578737,-0.50788766,103
68,1.2873795,-0.33395216,103
69,4.3385963,0.5602304,103
70,-0.49672255,-0.13493554,103
71,1.3070769,0.36973616,105
72,2.0276036,2.1027398,105
73,-0.76551354,1.6352911,105
74,1.9105405,3.8447783,105
75,-1.1457515,2.4649599,105
76,-1.8920507,3.9062574,105
77,0.561959,2.904243,105
78,0.004162878,4.9767795,105
79,0.48331165,4.182066,105
80,0.16867685,2.8671377,105
81,1.064342,0.7704643,105
82,1.6025937,4.4091105,105
83,1.6356703,3.5788047,105
84,2.0325634,4.072419,105
85,2.239474,2.0938005,106
86,-0.18028298,2.9758832,106
87,1.4306438,2.0440044,106
88,2.4160433,4.5244856,106
89,-0.35548708,3.6340616,106
90,-0.46154827,4.3513327,106
91,0.34876162,3.2284408,106
92,0.50696987,2.9883008,106
93,0.73904204,4.493773,106
94,1.9144735,2.0302696,106
95,-0.20342211,3.18372,106
96,0.32532644,0.7369214,106
97,0.3587014,4.186409,106
98,1.9165596,2.6477134,106
99,-0.7884108,2.4405847,107
100,0.66637003,3.9110954,107
101,-2.8234842,2.586784,107
102,2.2908762,3.1124907,107
103,2.8391588,3.6248574,107
104,0.7814075,3.8058417,109
105,-0.58214813,-0.04981401,109
106,-0.6690671,3.7262533,109
107,0.5572969,5.5334587,109
108,2.3295488,-0.51798475,109
109,-1.1526846,3.8419518,109
110,0.5072967,3.1961222,11
111,1.341778,3.5714412,11
112,1.1301944,3.516725,11
113,1.4595735,3.6622634,11
114,2.7223043,3.512433,11
115,4.77007,0.58534163,110
116,5.419677,1.8461007,110
117,4.1600556,-0.71966803,110
118,4.3298326,-0.5034178,110
119,-2.0914006,2.5084627,110
120,4.2912493,0.27364025,110
121,1.1822021,0.270337,110
122,3.6454082,-1.108981,110
